date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,
6/30/2019,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,2,Gravid Trap,FC-066gr,
6/30/2019,Fort Collins,Poudre River Trail,NE,Culex pipiens,4,CDC Light Trap,FC-067,
6/30/2019,Fort Collins,FC Visitors Center,NE,Culex tarsalis,45,CDC Light Trap,FC-014,
6/30/2019,Fort Collins,Country Club,NE,Culex tarsalis,17,CDC Light Trap,FC-034,
6/30/2019,Fort Collins,Linden Lake,NE,Culex tarsalis,14,CDC Light Trap,FC-069,
6/30/2019,Fort Collins,Prospect Ponds,NE,Culex tarsalis,20,CDC Light Trap,FC-066,
6/30/2019,Fort Collins,Redwood,NE,Culex tarsalis,11,CDC Light Trap,FC-040,
6/30/2019,Fort Collins,Poudre River Trail,NE,Culex tarsalis,118,CDC Light Trap,FC-067,
6/30/2019,Fort Collins,422 Lake Dr,NE,Culex tarsalis,13,CDC Light Trap,FC-072,
6/30/2019,Fort Collins,Redwood Gravid,NE,Culex pipiens,8,Gravid Trap,FC-040gr,
6/30/2019,Fort Collins,Hemlock,NW,Culex tarsalis,20,CDC Light Trap,FC-036 ,
6/30/2019,Fort Collins,N. Linden,NE,Culex tarsalis,28,CDC Light Trap,FC-006,
6/30/2019,Fort Collins,Edora Park,NE,Culex tarsalis,6,CDC Light Trap,FC-019,
7/1/2019,Fort Collins,Willow Springs,SE,Culex tarsalis,5,CDC Light Trap,FC-031,
7/1/2019,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,2,CDC Light Trap,FC-050,
7/1/2019,Fort Collins,West Chase,SE,Culex tarsalis,16,CDC Light Trap,FC-064,
7/1/2019,Fort Collins,Sage Creek North,SE,Culex tarsalis,6,CDC Light Trap,FC-075,
7/1/2019,Fort Collins,Fossil Creek South,SE,Culex tarsalis,168,CDC Light Trap,FC-039,
7/1/2019,Fort Collins,Egret and Rookery,SE,Culex tarsalis,85,CDC Light Trap,FC-053,
7/1/2019,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,3,CDC Light Trap,FC-050,
7/1/2019,Fort Collins,Bighorn,SE,Culex tarsalis,3,CDC Light Trap,FC-004,
7/1/2019,Fort Collins,3001 San Luis,SE,Culex tarsalis,29,CDC Light Trap,FC-027,
7/1/2019,Fort Collins,Boltz,SE,Culex tarsalis,10,CDC Light Trap,FC-023,
7/1/2019,Fort Collins,Rock Creek,SE,Culex tarsalis,11,CDC Light Trap,FC-074,
7/2/2019,Fort Collins,118 N Grant,NW,Culex tarsalis,5,CDC Light Trap,FC-073,
7/2/2019,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,5,Gravid Trap,FC-090gr,
7/2/2019,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,3,CDC Light Trap,FC-015,
7/2/2019,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,6,CDC Light Trap,FC-061,
7/3/2019,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,43,Gravid Trap,FC-029gr,
7/3/2019,Fort Collins,Silvergate Rd,SW,Culex pipiens,1,CDC Light Trap,FC-071,
7/3/2019,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,3,CDC Light Trap,FC-062,
7/3/2019,Fort Collins,Lopez Elementary,SW,Culex tarsalis,12,CDC Light Trap,FC-093,
7/3/2019,Fort Collins,737 Parliament,SE,Culex tarsalis,4,CDC Light Trap,FC-054,
7/3/2019,Fort Collins,Magic Carpet,SW,Culex tarsalis,3,CDC Light Trap,FC-001,
7/3/2019,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,12,CDC Light Trap,FC-037,
7/3/2019,Fort Collins,Ben's Park,SE,Culex tarsalis,9,CDC Light Trap,FC-029,
6/30/2019,Loveland,Pond at Silver Lake,LV,Culex tarsalis,2,CDC Light Trap,LV-093,
6/30/2019,Loveland,7 Lakes Gravid,LV,Culex pipiens,2,Gravid Trap,LV-079gr,
6/30/2019,Loveland,29th and Madison,LV,Culex tarsalis,17,CDC Light Trap,LV-004,
6/30/2019,Loveland,Sundisk and 13E,LV,Culex tarsalis,10,CDC Light Trap,LV-116,
6/30/2019,Loveland,Pond at Silver Lake,LV,Culex pipiens,2,CDC Light Trap,LV-093,
6/30/2019,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,9,CDC Light Trap,LV-066,
6/30/2019,Loveland,7 Lakes Park,LV,Culex tarsalis,22,CDC Light Trap,LV-078,
6/30/2019,Loveland,Centerra,LV,Culex tarsalis,15,CDC Light Trap,LV-117,
6/30/2019,Loveland,7 Lakes Park,LV,Culex pipiens,5,CDC Light Trap,LV-078,
6/30/2019,Loveland,Boyd Lake,LV,Culex tarsalis,71,CDC Light Trap,LV-095,
6/30/2019,Loveland,Horseshoe Pennninsula,LV,Culex tarsalis,46,CDC Light Trap,LV-069,
6/30/2019,Loveland,2229 Arikaree,LV,Culex tarsalis,8,CDC Light Trap,LV-088,
6/30/2019,Loveland,Sundisk and 13E,LV,Culex pipiens,1,CDC Light Trap,LV-116,
6/30/2019,Loveland,Harding and Reagan,LV,Culex tarsalis,2,CDC Light Trap,LV-080,
7/1/2019,Loveland,Derby Hill,LV,Culex tarsalis,7,CDC Light Trap,LV-087,
7/1/2019,Loveland,Farasita at Rist Benson,LV,Culex tarsalis,6,CDC Light Trap,LV-097,
7/1/2019,Loveland,Jocelyn and Eagle,LV,Culex tarsalis,3,CDC Light Trap,LV-019,
7/1/2019,Loveland,Jocelyn and Eagle,LV,Culex pipiens,1,CDC Light Trap,LV-019,
7/1/2019,Loveland,Del Norte Private Park,LV,Culex tarsalis,16,CDC Light Trap,LV-067,
7/1/2019,Loveland,Storage Yard and 2nd,LV,Culex tarsalis,2,CDC Light Trap,LV-124,
7/1/2019,Loveland,915 S Boise,LV,Culex pipiens,3,CDC Light Trap,LV-112,
7/1/2019,Loveland,9th and DesMoines,LV,Culex tarsalis,23,CDC Light Trap,LV-089,
7/1/2019,Loveland,Springs at Marianna,LV,Culex tarsalis,2,CDC Light Trap,LV-113,
7/1/2019,Loveland,Jefferson and 11th,LV,Culex tarsalis,1,CDC Light Trap,LV-074,
7/1/2019,Loveland,Cr 20 and 9,LV,Culex tarsalis,14,CDC Light Trap,LV-104,
7/1/2019,Loveland,1105 East 1st Street,LV,Culex tarsalis,3,CDC Light Trap,LV-077,
7/1/2019,Loveland,Blue Tree Realty,LV,Culex tarsalis,1,CDC Light Trap,LV-100,
7/1/2019,Loveland,Jefferson and 11th,LV,Culex pipiens,1,CDC Light Trap,LV-074,
7/1/2019,Loveland,8th And No Name,LV,Culex tarsalis,4,CDC Light Trap,LV-125,
7/1/2019,Loveland,Big Thompson ,LV,Culex tarsalis,13,CDC Light Trap,LV-110,
7/1/2019,Loveland,915 S Boise,LV,Culex tarsalis,4,CDC Light Trap,LV-112,
7/2/2019,Loveland,2001 S Douglas,LV,Culex tarsalis,33,CDC Light Trap,LV-042,
7/2/2019,Loveland,Cattail Pond,LV,Culex tarsalis,110,CDC Light Trap,LV-020,
7/2/2019,Loveland,Jill Drive Pond,LV,Culex tarsalis,48,CDC Light Trap,LV-114,
7/2/2019,Loveland,Linda and 26th ,LV,Culex tarsalis,11,CDC Light Trap,LV-021,
7/2/2019,Loveland,End of City Limits North,LV,Culex tarsalis,60,CDC Light Trap,LV-120,
7/2/2019,Loveland,Golf Vista,LV,Culex pipiens,1,CDC Light Trap,LV-118,
7/2/2019,Loveland,Golf Vista,LV,Culex tarsalis,4,CDC Light Trap,LV-118,
7/3/2019,Loveland,Estrella Park,LV,Culex tarsalis,13,CDC Light Trap,LV-014,
7/3/2019,Loveland,Fallgold,LV,Culex tarsalis,1,CDC Light Trap,LV-122,
7/3/2019,Loveland,West 43rd Railroad,LV,Culex tarsalis,8,CDC Light Trap,LV-105,
7/3/2019,Loveland,West 43rd Railroad,LV,Culex pipiens,1,CDC Light Trap,LV-105,
7/3/2019,Loveland,Benson Sculpture Park,LV,Culex tarsalis,16,CDC Light Trap,LV-098,
7/3/2019,Loveland,Cattails Golfcourse,LV,Culex tarsalis,3,CDC Light Trap,LV-099,
7/3/2019,Loveland,Estrella Park,LV,Culex pipiens,1,CDC Light Trap,LV-014,
7/3/2019,Loveland,Benson Sculpture Park,LV,Culex pipiens,4,CDC Light Trap,LV-098,
7/3/2019,Loveland,Glen Isle Ditch,LV,Culex tarsalis,9,CDC Light Trap,LV-102,
7/2/2019,Berthoud,Berthoud Park,BE,Culex tarsalis,14,CDC Light Trap,LC-001 ,
7/2/2019,Berthoud,Berthoud West,BE,Culex tarsalis,81,CDC Light Trap,LC-053 ,
7/2/2019,Berthoud,Berthoud North,BE,Culex tarsalis,3,CDC Light Trap,LC-049 ,
7/2/2019,Berthoud,Berthoud Point,BE,Culex tarsalis,70,CDC Light Trap,LC-054 ,
6/30/2019,Timnath,Timnath - Golf Course,Timnath,Culex tarsalis,13,CDC Light Trap,LC-022 ,
6/30/2019,Timnath,Timnath - Wildwing,Timnath,Culex pipiens,8,CDC Light Trap,LC-050 ,
6/30/2019,Timnath,Timnath - Wildwing,Timnath,Culex tarsalis,51,CDC Light Trap,LC-050 ,
6/30/2019,Timnath,Timnath - 5th and Kern,Timnath,Culex tarsalis,40,CDC Light Trap,LC-010 ,
6/30/2019,Timnath,Timnath - Serratoga Falls,Timnath,Culex tarsalis,49,CDC Light Trap,LC-051 ,
6/30/2019,Timnath,Timnath - Walmart,Timnath,Culex tarsalis,1,CDC Light Trap,LC-052 ,
