date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/14/2019,Fort Collins,N. Linden,NE,Culex pipiens,21,CDC Light Trap,FC-006
7/14/2019,Fort Collins,N. Linden,NE,Culex tarsalis,31,CDC Light Trap,FC-006
7/14/2019,Fort Collins,Edora Park,NE,Culex pipiens,4,CDC Light Trap,FC-019
7/14/2019,Fort Collins,Hemlock,NW,Culex tarsalis,67,CDC Light Trap,FC-036 
7/14/2019,Fort Collins,Hemlock,NW,Culex pipiens,13,CDC Light Trap,FC-036 
7/14/2019,Fort Collins,Redwood Gravid,NE,Culex pipiens,4,Gravid Trap,FC-040gr
7/14/2019,Fort Collins,Redwood,NE,Culex tarsalis,22,CDC Light Trap,FC-040
7/14/2019,Fort Collins,Country Club,NE,Culex tarsalis,195,CDC Light Trap,FC-034
7/14/2019,Fort Collins,Linden Lake,NE,Culex pipiens,6,CDC Light Trap,FC-069
7/14/2019,Fort Collins,Poudre River Trail,NE,Culex tarsalis,121,CDC Light Trap,FC-067
7/14/2019,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,2,Gravid Trap,FC-092gr
7/14/2019,Fort Collins,FC Visitors Center,NE,Culex tarsalis,114,CDC Light Trap,FC-014
7/14/2019,Fort Collins,Poudre River Trail,NE,Culex pipiens,5,CDC Light Trap,FC-067
7/14/2019,Fort Collins,Prospect Ponds,NE,Culex tarsalis,29,CDC Light Trap,FC-066
7/14/2019,Fort Collins,Lochside Lane,NE,Culex tarsalis,50,CDC Light Trap,FC-038
7/14/2019,Fort Collins,Prospect Ponds,NE,Culex pipiens,8,CDC Light Trap,FC-066
7/14/2019,Fort Collins,Linden Lake,NE,Culex tarsalis,42,CDC Light Trap,FC-069
7/14/2019,Fort Collins,422 Lake Dr,NE,Culex tarsalis,17,CDC Light Trap,FC-072
7/14/2019,Fort Collins,Edora Park,NE,Culex tarsalis,44,CDC Light Trap,FC-019
7/15/2019,Fort Collins,Sage Creek North,SE,Culex tarsalis,14,CDC Light Trap,FC-075
7/15/2019,Fort Collins,Boltz,SE,Culex tarsalis,25,CDC Light Trap,FC-023
7/15/2019,Fort Collins,English Ranch Park Gravid,SE,Culex tarsalis,4,Gravid Trap,FC-088gr
7/15/2019,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,43,Gravid Trap,FC-088gr
7/15/2019,Fort Collins,Keenland and Twin Oak,SE,Culex tarsalis,29,CDC Light Trap,FC-047
7/15/2019,Fort Collins,Fossil Creek South,SE,Culex tarsalis,112,CDC Light Trap,FC-039
7/15/2019,Fort Collins,Fossil Creek South,SE,Culex pipiens,3,CDC Light Trap,FC-039
7/15/2019,Fort Collins,Egret and Rookery,SE,Culex pipiens,11,CDC Light Trap,FC-053
7/15/2019,Fort Collins,Egret and Rookery,SE,Culex tarsalis,314,CDC Light Trap,FC-053
7/15/2019,Fort Collins,725 Westshore Court,SE,Culex tarsalis,28,CDC Light Trap,FC-046
7/15/2019,Fort Collins,West Chase,SE,Culex tarsalis,90,CDC Light Trap,FC-064
7/15/2019,Fort Collins,Willow Springs,SE,Culex tarsalis,46,CDC Light Trap,FC-031
7/15/2019,Fort Collins,Rock Creek,SE,Culex pipiens,3,CDC Light Trap,FC-074
7/15/2019,Fort Collins,Rock Creek,SE,Culex tarsalis,47,CDC Light Trap,FC-074
7/15/2019,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,7,CDC Light Trap,FC-050
7/15/2019,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,50,CDC Light Trap,FC-050
7/15/2019,Fort Collins,3001 San Luis,SE,Culex tarsalis,40,CDC Light Trap,FC-027
7/15/2019,Fort Collins,Bighorn,SE,Culex tarsalis,46,CDC Light Trap,FC-004
7/15/2019,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,3,Gravid Trap,FC-075gr
7/15/2019,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,31,CDC Light Trap,FC-059
7/16/2019,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,2,CDC Light Trap,FC-049
7/16/2019,Fort Collins,808 Ponderosa,NW,Culex tarsalis,6,CDC Light Trap,FC-060
7/16/2019,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,2,Gravid Trap,FC-090gr
7/16/2019,Fort Collins,118 N Grant,NW,Culex pipiens,3,CDC Light Trap,FC-073
7/16/2019,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,4,CDC Light Trap,FC-052
7/16/2019,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,13,CDC Light Trap,FC-061
7/16/2019,Fort Collins,118 N Grant,NW,Culex tarsalis,11,CDC Light Trap,FC-073
7/16/2019,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,9,Gravid Trap,FC-063gr
7/16/2019,Fort Collins,Fishback,NW,Culex tarsalis,3,CDC Light Trap,FC-041
7/17/2019,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,6,CDC Light Trap,FC-062
7/17/2019,Fort Collins,737 Parliament,SE,Culex tarsalis,14,CDC Light Trap,FC-054
7/17/2019,Fort Collins,Lopez Elementary,SW,Culex tarsalis,30,CDC Light Trap,FC-093
7/17/2019,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,57,Gravid Trap,FC-029gr
7/17/2019,Fort Collins,Magic Carpet,SW,Culex tarsalis,29,CDC Light Trap,FC-001
7/17/2019,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,25,CDC Light Trap,FC-037
7/17/2019,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,6,Gravid Trap,FC-089gr
7/17/2019,Fort Collins,Registry Ridge,SW,Culex tarsalis,5,CDC Light Trap,FC-057
7/17/2019,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,6,CDC Light Trap,FC-068
7/17/2019,Fort Collins,Ben's Park,SE,Culex tarsalis,16,CDC Light Trap,FC-029
7/17/2019,Fort Collins,Ben's Park,SE,Culex pipiens,5,CDC Light Trap,FC-029
7/17/2019,Fort Collins,Silvergate Rd,SW,Culex tarsalis,9,CDC Light Trap,FC-071
7/14/2019,Loveland,Pond at Silver Lake,LV,Culex pipiens,4,CDC Light Trap,LV-093
7/14/2019,Loveland,Pond at Silver Lake,LV,Culex tarsalis,12,CDC Light Trap,LV-093
7/14/2019,Loveland,Centerra,LV,Culex tarsalis,25,CDC Light Trap,LV-117
7/14/2019,Loveland,7 Lakes Park,LV,Culex pipiens,8,CDC Light Trap,LV-078
7/14/2019,Loveland,Horseshoe Pennninsula,LV,Culex pipiens,3,CDC Light Trap,LV-069
7/14/2019,Loveland,2229 Arikaree,LV,Culex tarsalis,40,CDC Light Trap,LV-088
7/14/2019,Loveland,2229 Arikaree,LV,Culex pipiens,2,CDC Light Trap,LV-088
7/14/2019,Loveland,7 Lakes Park,LV,Culex tarsalis,52,CDC Light Trap,LV-078
7/14/2019,Loveland,Centerra,LV,Culex pipiens,20,CDC Light Trap,LV-117
7/14/2019,Loveland,29th and Madison,LV,Culex tarsalis,42,CDC Light Trap,LV-004
