date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_name
8/13/2019,Berthoud,Berthoud Park,BE,Culex pipiens,22,LC-001 
8/13/2019,Berthoud,Berthoud Park,BE,Culex tarsalis,93,LC-001 
8/13/2019,Berthoud,Berthoud North,BE,Culex tarsalis,65,LC-049 
8/13/2019,Berthoud,Berthoud North,BE,Culex pipiens,3,LC-049 
8/13/2019,Berthoud,Berthoud West,BE,Culex tarsalis,39,LC-053 
8/13/2019,Berthoud,Berthoud Point,BE,Culex tarsalis,44,LC-054 
8/13/2019,Berthoud,Berthoud East,BE,Culex tarsalis,11,LC-055
8/11/2019,Fort Collins,N. Linden,NE,Culex tarsalis,27,FC-006
8/11/2019,Fort Collins,FC Visitors Center,NE,Culex tarsalis,66,FC-014
8/11/2019,Fort Collins,FC Visitors Center,NE,Culex pipiens,31,FC-014
8/11/2019,Fort Collins,N. Linden,NE,Culex pipiens,9,FC-006
8/11/2019,Fort Collins,Edora Park,NE,Culex pipiens,12,FC-019
8/11/2019,Fort Collins,Edora Park,NE,Culex tarsalis,41,FC-019
8/11/2019,Fort Collins,Country Club,NE,Culex pipiens,15,FC-034
8/11/2019,Fort Collins,Country Club,NE,Culex tarsalis,161,FC-034
8/11/2019,Fort Collins,Hemlock,NW,Culex tarsalis,89,FC-036 
8/11/2019,Fort Collins,Hemlock,NW,Culex pipiens,4,FC-036 
8/11/2019,Fort Collins,Lochside Lane,NE,Culex pipiens,5,FC-038
8/11/2019,Fort Collins,Lochside Lane,NE,Culex tarsalis,58,FC-038
8/11/2019,Fort Collins,Redwood,NE,Culex pipiens,16,FC-040
8/11/2019,Fort Collins,Redwood,NE,Culex tarsalis,61,FC-040
8/11/2019,Fort Collins,Redwood Gravid,NE,Culex pipiens,28,FC-040gr
8/11/2019,Fort Collins,Prospect Ponds,NE,Culex pipiens,19,FC-066
8/11/2019,Fort Collins,Prospect Ponds,NE,Culex tarsalis,60,FC-066
8/11/2019,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,46,FC-066gr
8/11/2019,Fort Collins,Poudre River Trail,NE,Culex tarsalis,67,FC-067
8/11/2019,Fort Collins,Linden Lake,NE,Culex tarsalis,64,FC-069
8/11/2019,Fort Collins,Linden Lake,NE,Culex pipiens,3,FC-069
8/11/2019,Fort Collins,422 Lake Dr,NE,Culex tarsalis,19,FC-072
8/11/2019,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,11,FC-092gr
8/11/2019,Fort Collins,Udall Natural Gravid,NE,Culex tarsalis,3,FC-092gr
8/12/2019,Fort Collins,Bighorn,SE,Culex tarsalis,118,FC-004
8/12/2019,Fort Collins,Bighorn,SE,Culex pipiens,7,FC-004
8/12/2019,Fort Collins,Boltz,SE,Culex pipiens,6,FC-023
8/12/2019,Fort Collins,Boltz,SE,Culex tarsalis,104,FC-023
8/12/2019,Fort Collins,3001 San Luis,SE,Culex pipiens,25,FC-027
8/12/2019,Fort Collins,3001 San Luis,SE,Culex tarsalis,103,FC-027
8/12/2019,Fort Collins,Willow Springs,SE,Culex pipiens,3,FC-031
8/12/2019,Fort Collins,Willow Springs,SE,Culex tarsalis,162,FC-031
8/12/2019,Fort Collins,Fossil Creek South,SE,Culex tarsalis,70,FC-039
8/12/2019,Fort Collins,Keenland and Twin Oak,SE,Culex tarsalis,49,FC-047
8/12/2019,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,154,FC-050
8/12/2019,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,69,FC-050
8/12/2019,Fort Collins,Egret and Rookery,SE,Culex tarsalis,375,FC-053
8/12/2019,Fort Collins,Egret and Rookery,SE,Culex pipiens,9,FC-053
8/12/2019,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,29,FC-059
8/12/2019,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,4,FC-059
8/12/2019,Fort Collins,West Chase,SE,Culex tarsalis,81,FC-064
8/12/2019,Fort Collins,West Chase,SE,Culex pipiens,3,FC-064
8/12/2019,Fort Collins,Rock Creek,SE,Culex pipiens,11,FC-074
