date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/7/2020,Berthoud,Berthoud Park,BE,Culex tarsalis,12,CDC Light Trap,LC-001 
7/7/2020,Berthoud,Berthoud North,BE,Culex pipiens,1,CDC Light Trap,LC-049 
7/7/2020,Berthoud,Berthoud West,BE,Culex tarsalis,4,CDC Light Trap,LC-053 
7/7/2020,Berthoud,Berthoud Point,BE,Culex tarsalis,10,CDC Light Trap,LC-054 
7/5/2020,Fort Collins,N. Linden,NE,Culex pipiens,10,CDC Light Trap,FC-006
7/5/2020,Fort Collins,N. Linden,NE,Culex tarsalis,8,CDC Light Trap,FC-006
7/5/2020,Fort Collins,FC Visitors Center,NE,Culex tarsalis,23,CDC Light Trap,FC-014
7/5/2020,Fort Collins,Edora Park,NE,Culex pipiens,5,CDC Light Trap,FC-019
7/5/2020,Fort Collins,Edora Park,NE,Culex tarsalis,49,CDC Light Trap,FC-019
7/5/2020,Fort Collins,Country Club,NE,Culex tarsalis,7,CDC Light Trap,FC-034
7/5/2020,Fort Collins,Hemlock,NW,Culex tarsalis,13,CDC Light Trap,FC-036 
7/5/2020,Fort Collins,Hemlock,NW,Culex pipiens,3,CDC Light Trap,FC-036 
7/5/2020,Fort Collins,Lochside Lane,NE,Culex tarsalis,3,CDC Light Trap,FC-038
7/5/2020,Fort Collins,Redwood,NE,Culex tarsalis,9,CDC Light Trap,FC-040
7/5/2020,Fort Collins,Redwood Gravid,NE,Culex pipiens,9,Gravid Trap,FC-040gr
7/5/2020,Fort Collins,Prospect Ponds,NE,Culex pipiens,3,CDC Light Trap,FC-066
7/5/2020,Fort Collins,Prospect Ponds,NE,Culex tarsalis,18,CDC Light Trap,FC-066
7/5/2020,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,9,Gravid Trap,FC-066gr
7/5/2020,Fort Collins,Poudre River Trail,NE,Culex pipiens,4,CDC Light Trap,FC-067
7/5/2020,Fort Collins,Poudre River Trail,NE,Culex tarsalis,61,CDC Light Trap,FC-067
7/5/2020,Fort Collins,Linden Lake Rd,NE,Culex pipiens,2,CDC Light Trap,FC-069
7/5/2020,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,9,CDC Light Trap,FC-069
7/5/2020,Fort Collins,422 Lake Dr,NE,Culex pipiens,10,CDC Light Trap,FC-072
7/5/2020,Fort Collins,422 Lake Dr,NE,Culex tarsalis,31,CDC Light Trap,FC-072
7/5/2020,Fort Collins,PVH Gravid,NE,Culex pipiens,12,Gravid Trap,FC-091gr
7/5/2020,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,26,Gravid Trap,FC-092gr
7/6/2020,Fort Collins,Big Horn,SE,Culex tarsalis,7,CDC Light Trap,FC-004
7/6/2020,Fort Collins,Boltz,SE,Culex tarsalis,6,CDC Light Trap,FC-023
7/6/2020,Fort Collins,3001 San Luis,SE,Culex pipiens,1,CDC Light Trap,FC-027
7/6/2020,Fort Collins,3001 San Luis,SE,Culex tarsalis,44,CDC Light Trap,FC-027
7/6/2020,Fort Collins,Willow Springs,SE,Culex pipiens,2,CDC Light Trap,FC-031
7/6/2020,Fort Collins,Willow Springs,SE,Culex tarsalis,38,CDC Light Trap,FC-031
7/6/2020,Fort Collins,Fossil Creek South,SE,Culex tarsalis,1,CDC Light Trap,FC-039
7/6/2020,Fort Collins,Westshore Ct,SE,Culex tarsalis,4,CDC Light Trap,FC-046
7/6/2020,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,11,CDC Light Trap,FC-047
7/6/2020,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,3,CDC Light Trap,FC-047
7/6/2020,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,9,CDC Light Trap,FC-050
7/6/2020,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,24,CDC Light Trap,FC-050
7/6/2020,Fort Collins,Egret and Rookery,SE,Culex tarsalis,29,CDC Light Trap,FC-053
7/6/2020,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,2,CDC Light Trap,FC-059
7/6/2020,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,13,CDC Light Trap,FC-059
7/6/2020,Fort Collins,West Chase,SE,Culex tarsalis,37,CDC Light Trap,FC-064
7/6/2020,Fort Collins,West Chase,SE,Culex pipiens,4,CDC Light Trap,FC-064
7/6/2020,Fort Collins,Rock Creek,SE,Culex tarsalis,9,CDC Light Trap,FC-074
7/6/2020,Fort Collins,Rock Creek,SE,Culex pipiens,1,CDC Light Trap,FC-074
7/6/2020,Fort Collins,Sage Creek North,SE,Culex pipiens,3,CDC Light Trap,FC-075
7/6/2020,Fort Collins,Sage Creek North,SE,Culex tarsalis,20,CDC Light Trap,FC-075
7/6/2020,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,90,Gravid Trap,FC-075gr
7/6/2020,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,475,Gravid Trap,FC-088gr
7/7/2020,Fort Collins,Golden Current,NW,Culex tarsalis,2,CDC Light Trap,FC-011
7/7/2020,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,1,CDC Light Trap,FC-015
7/7/2020,Fort Collins,Fishback,NW,Culex pipiens,1,CDC Light Trap,FC-041
7/7/2020,Fort Collins,Fishback,NW,Culex tarsalis,25,CDC Light Trap,FC-041
7/7/2020,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,3,CDC Light Trap,FC-049
7/7/2020,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,5,CDC Light Trap,FC-049
7/7/2020,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,2,CDC Light Trap,FC-052
7/7/2020,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,2,CDC Light Trap,FC-058
7/7/2020,Fort Collins,808 Ponderosa,NW,Culex tarsalis,1,CDC Light Trap,FC-060
7/7/2020,Fort Collins,808 Ponderosa,NW,Culex pipiens,4,CDC Light Trap,FC-060
7/7/2020,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,33,CDC Light Trap,FC-061
7/7/2020,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,4,CDC Light Trap,FC-061
7/7/2020,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,82,Gravid Trap,FC-063gr
7/7/2020,Fort Collins,118 S Grant ,NW,Culex tarsalis,9,CDC Light Trap,FC-073
7/7/2020,Fort Collins,118 S Grant ,NW,Culex pipiens,14,CDC Light Trap,FC-073
7/7/2020,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,111,Gravid Trap,FC-090gr
7/8/2020,Fort Collins,Magic Carpet,SW,Culex pipiens,1,CDC Light Trap,FC-001
7/8/2020,Fort Collins,Magic Carpet,SW,Culex tarsalis,1,CDC Light Trap,FC-001
7/8/2020,Fort Collins,Ben's Park,SE,Culex tarsalis,6,CDC Light Trap,FC-029
7/8/2020,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,315,Gravid Trap,FC-029gr
7/8/2020,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,3,CDC Light Trap,FC-037
7/8/2020,Fort Collins,737 Parliament,SE,Culex pipiens,4,CDC Light Trap,FC-054
7/8/2020,Fort Collins,737 Parliament,SE,Culex tarsalis,14,CDC Light Trap,FC-054
7/8/2020,Fort Collins,Registry Ridge,SW,Culex tarsalis,90,CDC Light Trap,FC-057
7/8/2020,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,4,CDC Light Trap,FC-062
7/8/2020,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,7,CDC Light Trap,FC-062
7/8/2020,Fort Collins,Silvergate Rd,SW,Culex pipiens,2,CDC Light Trap,FC-071
7/8/2020,Fort Collins,Silvergate Rd,SW,Culex tarsalis,6,CDC Light Trap,FC-071
