date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,trap_team
6/6/2021,Loveland,7 Lakes Gravid,LV,Culex pipiens,3,Gravid Trap,LV-079gr,
6/6/2021,Loveland,Pond at Silver Lake,LV,Culex pipiens,5,CDC Light Trap,LV-093,
6/6/2021,Loveland,29th and Madison,LV,Culex pipiens,1,CDC Light Trap,LV-004,
6/6/2021,Loveland,Horseshoe Pennninsula,LV,Culex pipiens,1,CDC Light Trap,LV-069,
6/6/2021,Loveland,Pond at Silver Lake,LV,Culex tarsalis,14,CDC Light Trap,LV-093,
6/6/2021,Loveland,7 Lakes Park,LV,Culex tarsalis,20,CDC Light Trap,LV-078,
6/6/2021,Loveland,Horseshoe Pennninsula,LV,Culex tarsalis,12,CDC Light Trap,LV-069,
6/6/2021,Loveland,2229 Arikaree,LV,Culex tarsalis,1,CDC Light Trap,LV-088,
6/6/2021,Loveland,29th and Madison,LV,Culex tarsalis,20,CDC Light Trap,LV-004,
6/6/2021,Loveland,Boyd Lake,LV,Culex tarsalis,44,CDC Light Trap,LV-095,
6/6/2021,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,3,CDC Light Trap,LV-066,
6/6/2021,Loveland,Sundisk and 13E,LV,Culex tarsalis,1,CDC Light Trap,LV-116,
6/6/2021,Loveland,Harding and Reagan,LV,Culex tarsalis,19,CDC Light Trap,LV-080,
6/6/2021,Timnath,Timnath - Summerfields,TT,Culex tarsalis,2,CDC Light Trap,LC-048 ,
6/6/2021,Timnath,Timnath - Wildwing,TT,Culex tarsalis,1,CDC Light Trap,LC-050 ,
6/6/2021,Timnath,Timnath - 5th and Kern,TT,Culex tarsalis,6,CDC Light Trap,LC-010 ,
6/6/2021,Timnath,Timnath - Walmart,TT,Culex tarsalis,40,CDC Light Trap,LC-052 ,
6/7/2021,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,1,Gravid Trap,LV-074gr,
6/7/2021,Loveland,1105 East 1st Street,LV,Culex tarsalis,9,CDC Light Trap,LV-077,
6/7/2021,Loveland,Storage Yard and 2nd St,LV,Culex tarsalis,57,CDC Light Trap,LV-124,
6/7/2021,Loveland,915 S Boise,LV,Culex tarsalis,76,CDC Light Trap,LV-112,
6/7/2021,Loveland,Cr 20 and 9,LV,Culex tarsalis,2,CDC Light Trap,LV-104,
6/7/2021,Loveland,Jefferson and 11th,LV,Culex tarsalis,9,CDC Light Trap,LV-074,
6/7/2021,Loveland,Golf Vista,LV,Culex tarsalis,2,CDC Light Trap,LV-118,
6/7/2021,Loveland,8th And No Name,LV,Culex tarsalis,20,CDC Light Trap,LV-125,
6/7/2021,Loveland,Big Thompson ,LV,Culex tarsalis,5,CDC Light Trap,LV-110,
6/7/2021,Loveland,Springs at Marianna,LV,Culex tarsalis,3,CDC Light Trap,LV-113,
6/8/2021,Berthoud,Berthoud Point,BE,Culex pipiens,1,CDC Light Trap,LC-054 ,
6/8/2021,Berthoud,Berthoud Park,BE,Culex tarsalis,14,CDC Light Trap,LC-001 ,
6/8/2021,Berthoud,Berthoud Point,BE,Culex tarsalis,60,CDC Light Trap,LC-054 ,
6/8/2021,Berthoud,Berthoud West,BE,Culex tarsalis,2,CDC Light Trap,LC-053 ,
6/8/2021,Loveland,Jocelyn and Eagle,LV,Culex pipiens,1,CDC Light Trap,LV-019,
6/8/2021,Loveland,2001 S Douglas,LV,Culex tarsalis,53,CDC Light Trap,LV-042,
6/8/2021,Loveland,Jocelyn and Eagle,LV,Culex tarsalis,9,CDC Light Trap,LV-019,
6/8/2021,Loveland,Jill Drive Pond,LV,Culex tarsalis,12,CDC Light Trap,LV-114,
6/8/2021,Loveland,Del Norte Private Park,LV,Culex tarsalis,51,CDC Light Trap,LV-067,
6/8/2021,Loveland,Cattail Pond,LV,Culex tarsalis,54,CDC Light Trap,LV-020,
6/8/2021,Loveland,Derby Hill,LV,Culex tarsalis,2,CDC Light Trap,LV-087,
6/8/2021,Loveland,End of City Limits North,LV,Culex tarsalis,4,CDC Light Trap,LV-120,
6/8/2021,Loveland,Linda and 26th ,LV,Culex tarsalis,15,CDC Light Trap,LV-021,
6/9/2021,Loveland,Hendler Gravid,LV,Culex pipiens,46,Gravid Trap,LV-010gr,
6/9/2021,Loveland,Farasita at Rist Benson,LV,Culex pipiens,10,CDC Light Trap,LV-097,
6/9/2021,Loveland,Estrella Park,LV,Culex tarsalis,2,CDC Light Trap,LV-014,
6/9/2021,Loveland,Cattails Golfcourse,LV,Culex tarsalis,3,CDC Light Trap,LV-099,
6/9/2021,Loveland,Benson Sculpture Park,LV,Culex tarsalis,1,CDC Light Trap,LV-098,
6/9/2021,Loveland,Farasita at Rist Benson,LV,Culex tarsalis,29,CDC Light Trap,LV-097,
6/9/2021,Loveland,West 43rd Railroad,LV,Culex tarsalis,2,CDC Light Trap,LV-105,
6/9/2021,Loveland,Bayfield and Windsor,LV,Culex tarsalis,6,CDC Light Trap,LV-121,
6/9/2021,Loveland,Glen Isle Ditch,LV,Culex tarsalis,5,CDC Light Trap,LV-102,
