date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,trap_team
6/29/2021,Berthoud,Berthoud Park,BE,Culex pipiens,8,CDC Light Trap,LC-001 ,
6/29/2021,Berthoud,Berthoud Park,BE,Culex tarsalis,115,CDC Light Trap,LC-001 ,
6/29/2021,Berthoud,Berthoud North,BE,Culex pipiens,2,CDC Light Trap,LC-049 ,
6/29/2021,Berthoud,Berthoud North,BE,Culex tarsalis,26,CDC Light Trap,LC-049 ,
6/29/2021,Berthoud,Berthoud West,BE,Culex pipiens,1,CDC Light Trap,LC-053 ,
6/29/2021,Berthoud,Berthoud West,BE,Culex tarsalis,15,CDC Light Trap,LC-053 ,
6/29/2021,Berthoud,Berthoud East,BE,Culex pipiens,1,CDC Light Trap,WC-055,
6/29/2021,Berthoud,Berthoud East,BE,Culex tarsalis,26,CDC Light Trap,WC-055,
6/27/2021,Fort Collins,N. Linden,NE,Culex pipiens,5,CDC Light Trap,FC-006,
6/27/2021,Fort Collins,N. Linden,NE,Culex tarsalis,26,CDC Light Trap,FC-006,
6/27/2021,Fort Collins,FC Visitors Center,NE,Culex pipiens,3,CDC Light Trap,FC-014,
6/27/2021,Fort Collins,FC Visitors Center,NE,Culex tarsalis,14,CDC Light Trap,FC-014,
6/27/2021,Fort Collins,Country Club,NE,Culex tarsalis,241,CDC Light Trap,FC-034,
6/27/2021,Fort Collins,Hemlock,NW,Culex pipiens,26,CDC Light Trap,FC-036 ,
6/27/2021,Fort Collins,Hemlock,NW,Culex tarsalis,65,CDC Light Trap,FC-036 ,
6/27/2021,Fort Collins,Lochside Lane,NE,Culex tarsalis,33,CDC Light Trap,FC-038,
6/27/2021,Fort Collins,Redwood,NE,Culex pipiens,3,CDC Light Trap,FC-040,
6/27/2021,Fort Collins,Redwood,NE,Culex tarsalis,29,CDC Light Trap,FC-040,
6/27/2021,Fort Collins,Redwood Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-040gr,
6/27/2021,Fort Collins,Redwood Gravid,NE,Culex pipiens,5,Gravid Trap,FC-040gr,
6/27/2021,Fort Collins,Prospect Ponds,NE,Culex tarsalis,6,CDC Light Trap,FC-066,
6/27/2021,Fort Collins,Prospect Ponds,NE,Culex pipiens,26,CDC Light Trap,FC-066,
6/27/2021,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,13,Gravid Trap,FC-066gr,
