date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/13/2021,Berthoud,Berthoud Park,BE,Culex tarsalis,168,CDC Light Trap,LC-001 
7/13/2021,Berthoud,Berthoud Park,BE,Culex pipiens,33,CDC Light Trap,LC-001 
7/13/2021,Berthoud,Berthoud North,BE,Culex tarsalis,75,CDC Light Trap,LC-049 
7/13/2021,Berthoud,Berthoud West,BE,Culex pipiens,4,CDC Light Trap,LC-053 
7/13/2021,Berthoud,Berthoud West,BE,Culex tarsalis,273,CDC Light Trap,LC-053 
7/13/2021,Berthoud,Berthoud East,BE,Culex tarsalis,84,CDC Light Trap,WC-055
7/13/2021,Berthoud,Berthoud East,BE,Culex pipiens,1,CDC Light Trap,WC-055
7/14/2021,Berthoud,Berthoud Point,BE,Culex tarsalis,50,CDC Light Trap,LC-054 
7/14/2021,Berthoud,Berthoud Point,BE,Culex pipiens,41,CDC Light Trap,LC-054 
7/11/2021,Fort Collins,N. Linden,NE,Culex pipiens,2,CDC Light Trap,FC-006
7/11/2021,Fort Collins,N. Linden,NE,Culex tarsalis,40,CDC Light Trap,FC-006
7/11/2021,Fort Collins,Edora Park,NE,Culex tarsalis,74,CDC Light Trap,FC-019
7/11/2021,Fort Collins,Edora Park,NE,Culex pipiens,3,CDC Light Trap,FC-019
7/11/2021,Fort Collins,Country Club,NE,Culex tarsalis,287,CDC Light Trap,FC-034
7/11/2021,Fort Collins,Country Club,NE,Culex pipiens,8,CDC Light Trap,FC-034
7/11/2021,Fort Collins,Hemlock,NW,Culex pipiens,5,CDC Light Trap,FC-036 
7/11/2021,Fort Collins,Hemlock,NW,Culex tarsalis,10,CDC Light Trap,FC-036 
7/11/2021,Fort Collins,Lochside Lane,NE,Culex tarsalis,26,CDC Light Trap,FC-038
7/11/2021,Fort Collins,Redwood Gravid,NE,Culex pipiens,57,Gravid Trap,FC-040gr
7/11/2021,Fort Collins,Prospect Ponds,NE,Culex pipiens,24,CDC Light Trap,FC-066
7/11/2021,Fort Collins,Prospect Ponds,NE,Culex tarsalis,31,CDC Light Trap,FC-066
7/11/2021,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,14,Gravid Trap,FC-066gr
7/11/2021,Fort Collins,Poudre River Trail,NE,Culex pipiens,9,CDC Light Trap,FC-067
7/11/2021,Fort Collins,Poudre River Trail,NE,Culex tarsalis,100,CDC Light Trap,FC-067
