date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/27/2021,Berthoud,Berthoud Park,BE,Culex pipiens,29,CDC Light Trap,LC-001 
7/27/2021,Berthoud,Berthoud Park,BE,Culex tarsalis,155,CDC Light Trap,LC-001 
7/27/2021,Berthoud,Berthoud North,BE,Culex pipiens,5,CDC Light Trap,LC-049 
7/27/2021,Berthoud,Berthoud North,BE,Culex tarsalis,183,CDC Light Trap,LC-049 
7/27/2021,Berthoud,Berthoud West,BE,Culex tarsalis,199,CDC Light Trap,LC-053 
7/27/2021,Berthoud,Berthoud Point,BE,Culex pipiens,71,CDC Light Trap,LC-054 
7/27/2021,Berthoud,Berthoud Point,BE,Culex tarsalis,367,CDC Light Trap,LC-054 
7/27/2021,Berthoud,Berthoud East,BE,Culex pipiens,2,CDC Light Trap,WC-055
7/27/2021,Berthoud,Berthoud East,BE,Culex tarsalis,89,CDC Light Trap,WC-055
7/25/2021,Fort Collins,FC Visitors Center,NE,Culex tarsalis,44,CDC Light Trap,FC-014
7/25/2021,Fort Collins,FC Visitors Center,NE,Culex pipiens,12,CDC Light Trap,FC-014
7/25/2021,Fort Collins,Edora Park,NE,Culex pipiens,23,CDC Light Trap,FC-019
7/25/2021,Fort Collins,Edora Park,NE,Culex tarsalis,205,CDC Light Trap,FC-019
7/25/2021,Fort Collins,Country Club,NE,Culex tarsalis,33,CDC Light Trap,FC-034
7/25/2021,Fort Collins,Hemlock,NW,Culex tarsalis,110,CDC Light Trap,FC-036 
7/25/2021,Fort Collins,Hemlock,NW,Culex pipiens,16,CDC Light Trap,FC-036 
7/25/2021,Fort Collins,Lochside Lane,NE,Culex pipiens,6,CDC Light Trap,FC-038
7/25/2021,Fort Collins,Lochside Lane,NE,Culex tarsalis,106,CDC Light Trap,FC-038
7/25/2021,Fort Collins,Redwood,NE,Culex pipiens,7,CDC Light Trap,FC-040
7/25/2021,Fort Collins,Redwood,NE,Culex tarsalis,260,CDC Light Trap,FC-040
7/25/2021,Fort Collins,Redwood Gravid,NE,Culex pipiens,147,Gravid Trap,FC-040gr
7/25/2021,Fort Collins,Prospect Ponds,NE,Culex pipiens,255,CDC Light Trap,FC-066
7/25/2021,Fort Collins,Prospect Ponds,NE,Culex tarsalis,172,CDC Light Trap,FC-066
7/25/2021,Fort Collins,Prospect Ponds Gravid,NE,Culex tarsalis,3,Gravid Trap,FC-066gr
7/25/2021,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,74,Gravid Trap,FC-066gr
7/25/2021,Fort Collins,Poudre River Trail,NE,Culex pipiens,9,CDC Light Trap,FC-067
7/25/2021,Fort Collins,Poudre River Trail,NE,Culex tarsalis,71,CDC Light Trap,FC-067
7/25/2021,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,38,CDC Light Trap,FC-069
7/25/2021,Fort Collins,422 Lake Dr,NE,Culex tarsalis,200,CDC Light Trap,FC-072
7/25/2021,Fort Collins,422 Lake Dr,NE,Culex pipiens,19,CDC Light Trap,FC-072
7/25/2021,Fort Collins,PVH Gravid,NE,Culex pipiens,7,Gravid Trap,FC-091gr
