date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
8/31/2021,Berthoud,Berthoud Park,BE,Culex tarsalis,11,CDC Light Trap,LC-001 
8/31/2021,Berthoud,Berthoud Park,BE,Culex pipiens,3,CDC Light Trap,LC-001 
8/31/2021,Berthoud,Berthoud North,BE,Culex tarsalis,4,CDC Light Trap,LC-049 
8/31/2021,Berthoud,Berthoud West,BE,Culex tarsalis,9,CDC Light Trap,LC-053 
8/31/2021,Berthoud,Berthoud West,BE,Culex pipiens,5,CDC Light Trap,LC-053 
8/31/2021,Berthoud,Berthoud Point,BE,Culex pipiens,23,CDC Light Trap,LC-054 
8/31/2021,Berthoud,Berthoud Point,BE,Culex tarsalis,15,CDC Light Trap,LC-054 
8/31/2021,Berthoud,Berthoud East,BE,Culex pipiens,3,CDC Light Trap,WC-055
8/31/2021,Berthoud,Berthoud East,BE,Culex tarsalis,5,CDC Light Trap,WC-055
8/29/2021,Fort Collins,Big Horn,SE,Culex tarsalis,3,CDC Light Trap,FC-004
8/29/2021,Fort Collins,Big Horn,SE,Culex pipiens,26,CDC Light Trap,FC-004
8/29/2021,Fort Collins,Boltz,SE,Culex tarsalis,2,CDC Light Trap,FC-023
8/29/2021,Fort Collins,Boltz,SE,Culex pipiens,3,CDC Light Trap,FC-023
8/29/2021,Fort Collins,3001 San Luis,SE,Culex tarsalis,2,CDC Light Trap,FC-027
8/29/2021,Fort Collins,3001 San Luis,SE,Culex pipiens,4,CDC Light Trap,FC-027
8/29/2021,Fort Collins,Willow Springs,SE,Culex tarsalis,14,CDC Light Trap,FC-031
8/29/2021,Fort Collins,Willow Springs,SE,Culex pipiens,5,CDC Light Trap,FC-031
8/29/2021,Fort Collins,Fossil Creek South,SE,Culex pipiens,4,CDC Light Trap,FC-039
8/29/2021,Fort Collins,Fossil Creek South,SE,Culex tarsalis,22,CDC Light Trap,FC-039
8/29/2021,Fort Collins,Westshore Ct,SE,Culex tarsalis,5,CDC Light Trap,FC-046
8/29/2021,Fort Collins,Westshore Ct,SE,Culex pipiens,15,CDC Light Trap,FC-046
8/29/2021,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,3,CDC Light Trap,FC-047
8/29/2021,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,1,CDC Light Trap,FC-047
8/29/2021,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,138,CDC Light Trap,FC-050
8/29/2021,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,3,CDC Light Trap,FC-050
8/29/2021,Fort Collins,Egret and Rookery,SE,Culex pipiens,1,CDC Light Trap,FC-053
8/29/2021,Fort Collins,Egret and Rookery,SE,Culex tarsalis,8,CDC Light Trap,FC-053
8/29/2021,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,17,CDC Light Trap,FC-059
8/29/2021,Fort Collins,West Chase,SE,Culex pipiens,7,CDC Light Trap,FC-064
8/29/2021,Fort Collins,West Chase,SE,Culex tarsalis,11,CDC Light Trap,FC-064
8/29/2021,Fort Collins,Rock Creek,SE,Culex tarsalis,27,CDC Light Trap,FC-074
8/29/2021,Fort Collins,Rock Creek,SE,Culex pipiens,4,CDC Light Trap,FC-074
8/29/2021,Fort Collins,Sage Creek North,SE,Culex pipiens,36,CDC Light Trap,FC-075
8/29/2021,Fort Collins,Sage Creek North,SE,Culex tarsalis,15,CDC Light Trap,FC-075
8/29/2021,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,49,Gravid Trap,FC-075gr
8/29/2021,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,30,Gravid Trap,FC-088gr
8/30/2021,Fort Collins,FC Visitor Center,NE,Culex pipiens,9,CDC Light Trap,FC-014
8/30/2021,Fort Collins,Edora Park,NE,Culex tarsalis,2,CDC Light Trap,FC-019
8/30/2021,Fort Collins,Edora Park,NE,Culex pipiens,6,CDC Light Trap,FC-019
8/30/2021,Fort Collins,Hemlock,NW,Culex pipiens,1,CDC Light Trap,FC-036 
8/30/2021,Fort Collins,Lochside Lane,NE,Culex pipiens,2,CDC Light Trap,FC-038
8/30/2021,Fort Collins,Redwood,NE,Culex tarsalis,1,CDC Light Trap,FC-040
8/30/2021,Fort Collins,Redwood Gravid,NE,Culex pipiens,9,Gravid Trap,FC-040gr
8/30/2021,Fort Collins,Prospect Ponds,NE,Culex tarsalis,7,CDC Light Trap,FC-066
8/30/2021,Fort Collins,Prospect Ponds,NE,Culex pipiens,335,CDC Light Trap,FC-066
8/30/2021,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,7,Gravid Trap,FC-066gr
8/30/2021,Fort Collins,Poudre River Trail,NE,Culex tarsalis,3,CDC Light Trap,FC-067
8/30/2021,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,2,CDC Light Trap,FC-069
8/30/2021,Fort Collins,422 Lake Dr,NE,Culex pipiens,6,CDC Light Trap,FC-072
8/30/2021,Fort Collins,422 Lake Dr,NE,Culex tarsalis,15,CDC Light Trap,FC-072
8/30/2021,Fort Collins,PVH Gravid,NE,Culex pipiens,6,Gravid Trap,FC-091gr
8/30/2021,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,20,Gravid Trap,FC-092gr
8/31/2021,Fort Collins,Golden Current,NW,Culex pipiens,3,CDC Light Trap,FC-011
8/31/2021,Fort Collins,Fishback,NW,Culex pipiens,2,CDC Light Trap,FC-041
8/31/2021,Fort Collins,Fishback,NW,Culex tarsalis,7,CDC Light Trap,FC-041
8/31/2021,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,5,CDC Light Trap,FC-049
8/31/2021,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,4,CDC Light Trap,FC-049
8/31/2021,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,1,CDC Light Trap,FC-052
8/31/2021,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-058
8/31/2021,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex pipiens,2,CDC Light Trap,FC-058
8/31/2021,Fort Collins,808 Ponderosa,NW,Culex pipiens,5,CDC Light Trap,FC-060
8/31/2021,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,7,CDC Light Trap,FC-061
8/31/2021,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,4,CDC Light Trap,FC-061
8/31/2021,Fort Collins,Red Fox Meadows,NW,Culex pipiens,1,CDC Light Trap,FC-063
8/31/2021,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,48,Gravid Trap,FC-063gr
8/31/2021,Fort Collins,118 S Grant ,NW,Culex pipiens,7,CDC Light Trap,FC-073
