date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,
6/28/2022,Berthoud,Berthoud Park,BE,Culex pipiens,11,CDC Light Trap,LC-001 ,
6/28/2022,Berthoud,Berthoud Park,BE,Culex tarsalis,131,CDC Light Trap,LC-001 ,
6/28/2022,Berthoud,Berthoud North,BE,Culex tarsalis,10,CDC Light Trap,LC-049 ,
6/28/2022,Berthoud,Berthoud West,BE,Culex tarsalis,42,CDC Light Trap,LC-053 ,
6/28/2022,Berthoud,Berthoud Point,BE,Culex tarsalis,54,CDC Light Trap,LC-054 ,
6/28/2022,Berthoud,Berthoud East,BE,Culex tarsalis,1,CDC Light Trap,WC-055,
6/26/2022,Fort Collins,N. Linden,NE,Culex pipiens,1,CDC Light Trap,FC-006,
6/26/2022,Fort Collins,N. Linden,NE,Culex tarsalis,2,CDC Light Trap,FC-006,
6/26/2022,Fort Collins,FC Visitor Center,NE,Culex tarsalis,5,CDC Light Trap,FC-014,
6/26/2022,Fort Collins,Edora Park,NE,Culex pipiens,3,CDC Light Trap,FC-019,
6/26/2022,Fort Collins,Edora Park,NE,Culex tarsalis,7,CDC Light Trap,FC-019,
6/26/2022,Fort Collins,Country Club,NE,Culex pipiens,1,CDC Light Trap,FC-034,
6/26/2022,Fort Collins,Country Club,NE,Culex tarsalis,29,CDC Light Trap,FC-034,
6/26/2022,Fort Collins,Hemlock,NW,Culex tarsalis,2,CDC Light Trap,FC-036 ,
6/26/2022,Fort Collins,Lochside Lane,NE,Culex tarsalis,4,CDC Light Trap,FC-038,
6/26/2022,Fort Collins,Redwood,NE,Culex tarsalis,2,CDC Light Trap,FC-040,
6/26/2022,Fort Collins,Redwood Gravid,NE,Culex pipiens,2,Gravid Trap,FC-040gr,
6/26/2022,Fort Collins,Prospect Ponds,NE,Culex pipiens,21,CDC Light Trap,FC-066,
6/26/2022,Fort Collins,Prospect Ponds,NE,Culex tarsalis,10,CDC Light Trap,FC-066,
6/26/2022,Fort Collins,Poudre River Trail,NE,Culex pipiens,1,CDC Light Trap,FC-067,
6/26/2022,Fort Collins,Poudre River Trail,NE,Culex tarsalis,6,CDC Light Trap,FC-067,
6/26/2022,Fort Collins,Linden Lake Rd,NE,Culex pipiens,1,CDC Light Trap,FC-069,
6/26/2022,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,6,CDC Light Trap,FC-069,
6/26/2022,Fort Collins,422 Lake Dr,NE,Culex pipiens,4,CDC Light Trap,FC-072,
6/26/2022,Fort Collins,422 Lake Dr,NE,Culex tarsalis,14,CDC Light Trap,FC-072,
6/27/2022,Fort Collins,Big Horn,SE,Culex pipiens,1,CDC Light Trap,FC-004,
6/27/2022,Fort Collins,Big Horn,SE,Culex tarsalis,22,CDC Light Trap,FC-004,
6/27/2022,Fort Collins,Boltz,SE,Culex tarsalis,5,CDC Light Trap,FC-023,
6/27/2022,Fort Collins,3001 San Luis,SE,Culex pipiens,1,CDC Light Trap,FC-027,
6/27/2022,Fort Collins,3001 San Luis,SE,Culex tarsalis,22,CDC Light Trap,FC-027,
6/27/2022,Fort Collins,Willow Springs,SE,Culex tarsalis,22,CDC Light Trap,FC-031,
6/27/2022,Fort Collins,Fossil Creek South,SE,Culex tarsalis,8,CDC Light Trap,FC-039,
6/27/2022,Fort Collins,Westshore Ct,SE,Culex pipiens,2,CDC Light Trap,FC-046,
6/27/2022,Fort Collins,Westshore Ct,SE,Culex tarsalis,9,CDC Light Trap,FC-046,
6/27/2022,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,14,CDC Light Trap,FC-047,
6/27/2022,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,14,CDC Light Trap,FC-050,
6/27/2022,Fort Collins,Egret and Rookery,SE,Culex pipiens,1,CDC Light Trap,FC-053,
6/27/2022,Fort Collins,Egret and Rookery,SE,Culex tarsalis,90,CDC Light Trap,FC-053,
6/27/2022,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,1,CDC Light Trap,FC-059,
6/27/2022,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,15,CDC Light Trap,FC-059,
6/27/2022,Fort Collins,West Chase,SE,Culex tarsalis,44,CDC Light Trap,FC-064,
6/27/2022,Fort Collins,Rock Creek,SE,Culex pipiens,3,CDC Light Trap,FC-074,
6/27/2022,Fort Collins,Rock Creek,SE,Culex tarsalis,66,CDC Light Trap,FC-074,
6/27/2022,Fort Collins,Sage Creek North,SE,Culex tarsalis,58,CDC Light Trap,FC-075,
6/27/2022,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,3,Gravid Trap,FC-075gr,
6/27/2022,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,21,Gravid Trap,FC-088gr,
6/28/2022,Fort Collins,Golden Current,NW,Culex pipiens,2,CDC Light Trap,FC-011,
6/28/2022,Fort Collins,Golden Current,NW,Culex tarsalis,3,CDC Light Trap,FC-011,
6/28/2022,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,2,CDC Light Trap,FC-015,
6/28/2022,Fort Collins,Fishback,NW,Culex pipiens,5,CDC Light Trap,FC-041,
6/28/2022,Fort Collins,Fishback,NW,Culex tarsalis,6,CDC Light Trap,FC-041,
6/28/2022,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,1,CDC Light Trap,FC-049,
6/28/2022,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,4,CDC Light Trap,FC-049,
