date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
8/2/2022,Berthoud,Berthoud Park,BE,Culex tarsalis,135,CDC Light Trap,LC-001 
8/2/2022,Berthoud,Berthoud Park,BE,Culex pipiens,23,CDC Light Trap,LC-001 
8/2/2022,Berthoud,Berthoud North,BE,Culex pipiens,1,CDC Light Trap,LC-049 
8/2/2022,Berthoud,Berthoud North,BE,Culex tarsalis,75,CDC Light Trap,LC-049 
8/2/2022,Berthoud,Berthoud West,BE,Culex tarsalis,7,CDC Light Trap,LC-053 
8/2/2022,Berthoud,Berthoud Point,BE,Culex tarsalis,54,CDC Light Trap,LC-054 
8/2/2022,Berthoud,Berthoud Point,BE,Culex pipiens,2,CDC Light Trap,LC-054 
8/2/2022,Berthoud,Berthoud East,BE,Culex tarsalis,22,CDC Light Trap,WC-055
7/31/2022,Fort Collins,N. Linden,NE,Culex pipiens,12,CDC Light Trap,FC-006
7/31/2022,Fort Collins,N. Linden,NE,Culex tarsalis,45,CDC Light Trap,FC-006
7/31/2022,Fort Collins,FC Visitor Center,NE,Culex tarsalis,69,CDC Light Trap,FC-014
7/31/2022,Fort Collins,FC Visitor Center,NE,Culex pipiens,192,CDC Light Trap,FC-014
7/31/2022,Fort Collins,Edora Park,NE,Culex pipiens,16,CDC Light Trap,FC-019
7/31/2022,Fort Collins,Edora Park,NE,Culex tarsalis,44,CDC Light Trap,FC-019
7/31/2022,Fort Collins,Country Club,NE,Culex pipiens,2,CDC Light Trap,FC-034
7/31/2022,Fort Collins,Country Club,NE,Culex tarsalis,71,CDC Light Trap,FC-034
7/31/2022,Fort Collins,Hemlock,NW,Culex tarsalis,13,CDC Light Trap,FC-036 
7/31/2022,Fort Collins,Hemlock,NW,Culex pipiens,4,CDC Light Trap,FC-036 
7/31/2022,Fort Collins,Lochside Lane,NE,Culex pipiens,2,CDC Light Trap,FC-038
7/31/2022,Fort Collins,Lochside Lane,NE,Culex tarsalis,23,CDC Light Trap,FC-038
7/31/2022,Fort Collins,Redwood,NE,Culex pipiens,58,CDC Light Trap,FC-040
7/31/2022,Fort Collins,Redwood,NE,Culex tarsalis,47,CDC Light Trap,FC-040
7/31/2022,Fort Collins,Redwood Gravid,NE,Culex pipiens,71,Gravid Trap,FC-040gr
7/31/2022,Fort Collins,Redwood Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-040gr
7/31/2022,Fort Collins,Prospect Ponds,NE,Culex pipiens,105,CDC Light Trap,FC-066
7/31/2022,Fort Collins,Prospect Ponds,NE,Culex tarsalis,22,CDC Light Trap,FC-066
7/31/2022,Fort Collins,Prospect Ponds Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-066gr
7/31/2022,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,4,Gravid Trap,FC-066gr
7/31/2022,Fort Collins,Poudre River Trail,NE,Culex pipiens,47,CDC Light Trap,FC-067
7/31/2022,Fort Collins,Poudre River Trail,NE,Culex tarsalis,180,CDC Light Trap,FC-067
7/31/2022,Fort Collins,Linden Lake Rd,NE,Culex pipiens,7,CDC Light Trap,FC-069
7/31/2022,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,32,CDC Light Trap,FC-069
7/31/2022,Fort Collins,422 Lake Dr,NE,Culex pipiens,10,CDC Light Trap,FC-072
7/31/2022,Fort Collins,422 Lake Dr,NE,Culex tarsalis,100,CDC Light Trap,FC-072
7/31/2022,Fort Collins,PVH Gravid,NE,Culex pipiens,31,Gravid Trap,FC-091gr
7/31/2022,Fort Collins,PVH Gravid,NE,Culex tarsalis,3,Gravid Trap,FC-091gr
7/31/2022,Fort Collins,Udall Natural Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-092gr
7/31/2022,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,16,Gravid Trap,FC-092gr
8/1/2022,Fort Collins,Big Horn,SE,Culex pipiens,50,CDC Light Trap,FC-004
8/1/2022,Fort Collins,Big Horn,SE,Culex tarsalis,22,CDC Light Trap,FC-004
8/1/2022,Fort Collins,Boltz,SE,Culex pipiens,30,CDC Light Trap,FC-023
8/1/2022,Fort Collins,Boltz,SE,Culex tarsalis,56,CDC Light Trap,FC-023
8/1/2022,Fort Collins,3001 San Luis,SE,Culex tarsalis,28,CDC Light Trap,FC-027
8/1/2022,Fort Collins,3001 San Luis,SE,Culex pipiens,28,CDC Light Trap,FC-027
8/1/2022,Fort Collins,Ben's Park,SE,Culex tarsalis,21,CDC Light Trap,FC-029
8/1/2022,Fort Collins,Ben's Park,SE,Culex pipiens,12,CDC Light Trap,FC-029
8/1/2022,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,47,Gravid Trap,FC-029gr
8/1/2022,Fort Collins,Willow Springs,SE,Culex pipiens,3,CDC Light Trap,FC-031
8/1/2022,Fort Collins,Willow Springs,SE,Culex tarsalis,32,CDC Light Trap,FC-031
8/1/2022,Fort Collins,Fossil Creek South,SE,Culex tarsalis,20,CDC Light Trap,FC-039
8/1/2022,Fort Collins,Westshore Ct,SE,Culex tarsalis,126,CDC Light Trap,FC-046
8/1/2022,Fort Collins,Westshore Ct,SE,Culex pipiens,15,CDC Light Trap,FC-046
8/1/2022,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,1,CDC Light Trap,FC-047
