date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
8/1/2023,Berthoud,Berthoud Park,BE,Culex pipiens,30,CDC Light Trap,LC-001 
8/1/2023,Berthoud,Berthoud Park,BE,Culex tarsalis,137,CDC Light Trap,LC-001 
8/1/2023,Berthoud,Berthoud North,BE,Culex tarsalis,9,CDC Light Trap,LC-049 
8/1/2023,Berthoud,Berthoud West,BE,Culex pipiens,8,CDC Light Trap,LC-053 
8/1/2023,Berthoud,Berthoud West,BE,Culex tarsalis,15,CDC Light Trap,LC-053 
8/1/2023,Berthoud,Berthoud Point,BE,Culex pipiens,2,CDC Light Trap,LC-054 
8/1/2023,Berthoud,Berthoud Point,BE,Culex tarsalis,28,CDC Light Trap,LC-054 
8/1/2023,Berthoud,Berthoud East,BE,Culex pipiens,9,CDC Light Trap,WC-055
8/1/2023,Berthoud,Berthoud East,BE,Culex tarsalis,21,CDC Light Trap,WC-055
7/30/2023,Fort Collins,Big Horn,SE,Culex pipiens,24,CDC Light Trap,FC-004
7/30/2023,Fort Collins,Big Horn,SE,Culex tarsalis,271,CDC Light Trap,FC-004
7/30/2023,Fort Collins,Boltz,SE,Culex pipiens,8,CDC Light Trap,FC-023
7/30/2023,Fort Collins,Boltz,SE,Culex tarsalis,79,CDC Light Trap,FC-023
7/30/2023,Fort Collins,3001 San Luis,SE,Culex tarsalis,26,CDC Light Trap,FC-027
7/30/2023,Fort Collins,Willow Springs,SE,Culex tarsalis,627,CDC Light Trap,FC-031
7/30/2023,Fort Collins,Willow Springs,SE,Culex pipiens,44,CDC Light Trap,FC-031
7/30/2023,Fort Collins,Fossil Creek South,SE,Culex tarsalis,229,CDC Light Trap,FC-039
7/30/2023,Fort Collins,Fossil Creek South,SE,Culex pipiens,6,CDC Light Trap,FC-039
7/30/2023,Fort Collins,Westshore Ct,SE,Culex pipiens,6,CDC Light Trap,FC-046
7/30/2023,Fort Collins,Westshore Ct,SE,Culex tarsalis,80,CDC Light Trap,FC-046
7/30/2023,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,79,CDC Light Trap,FC-047
7/30/2023,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,7,CDC Light Trap,FC-047
7/30/2023,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,4,CDC Light Trap,FC-050
7/30/2023,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,82,CDC Light Trap,FC-050
7/30/2023,Fort Collins,Egret and Rookery,SE,Culex tarsalis,140,CDC Light Trap,FC-053
7/30/2023,Fort Collins,Egret and Rookery,SE,Culex pipiens,1,CDC Light Trap,FC-053
7/30/2023,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,1,CDC Light Trap,FC-059
7/30/2023,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,14,CDC Light Trap,FC-059
7/30/2023,Fort Collins,West Chase,SE,Culex tarsalis,181,CDC Light Trap,FC-064
7/30/2023,Fort Collins,West Chase,SE,Culex pipiens,45,CDC Light Trap,FC-064
7/30/2023,Fort Collins,Rock Creek,SE,Culex tarsalis,62,CDC Light Trap,FC-074
7/30/2023,Fort Collins,Rock Creek,SE,Culex pipiens,2,CDC Light Trap,FC-074
7/30/2023,Fort Collins,Sage Creek North,SE,Culex pipiens,20,CDC Light Trap,FC-075
7/30/2023,Fort Collins,Sage Creek North,SE,Culex tarsalis,79,CDC Light Trap,FC-075
7/30/2023,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,48,Gravid Trap,FC-075gr
7/30/2023,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,124,Gravid Trap,FC-088gr
7/31/2023,Fort Collins,N. Linden,NE,Culex tarsalis,2,CDC Light Trap,FC-006
7/31/2023,Fort Collins,FC Visitor Center,NE,Culex pipiens,11,CDC Light Trap,FC-014
7/31/2023,Fort Collins,FC Visitor Center,NE,Culex tarsalis,26,CDC Light Trap,FC-014
7/31/2023,Fort Collins,Edora Park,NE,Culex tarsalis,20,CDC Light Trap,FC-019
7/31/2023,Fort Collins,Edora Park,NE,Culex pipiens,6,CDC Light Trap,FC-019
7/31/2023,Fort Collins,Country Club,NE,Culex tarsalis,6,CDC Light Trap,FC-034
7/31/2023,Fort Collins,Hemlock,NW,Culex pipiens,6,CDC Light Trap,FC-036 
7/31/2023,Fort Collins,Hemlock,NW,Culex tarsalis,20,CDC Light Trap,FC-036 
7/31/2023,Fort Collins,Lochside Lane,NE,Culex tarsalis,24,CDC Light Trap,FC-038
