date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
9/4/2023,Fort Collins,FC Visitor Center,NE,Culex pipiens,1,CDC Light Trap,FC-014
9/4/2023,Fort Collins,Edora Park,NE,Culex pipiens,9,CDC Light Trap,FC-019
9/4/2023,Fort Collins,Edora Park,NE,Culex tarsalis,6,CDC Light Trap,FC-019
9/4/2023,Fort Collins,Country Club,NE,Culex tarsalis,1,CDC Light Trap,FC-034
9/4/2023,Fort Collins,Redwood,NE,Culex tarsalis,2,CDC Light Trap,FC-040
9/4/2023,Fort Collins,Redwood,NE,Culex pipiens,13,CDC Light Trap,FC-040
9/4/2023,Fort Collins,Redwood Gravid,NE,Culex pipiens,7,Gravid Trap,FC-040gr
9/4/2023,Fort Collins,Prospect Ponds,NE,Culex pipiens,179,CDC Light Trap,FC-066
9/4/2023,Fort Collins,Prospect Ponds,NE,Culex tarsalis,5,CDC Light Trap,FC-066
9/4/2023,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,3,Gravid Trap,FC-066gr
9/4/2023,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,2,CDC Light Trap,FC-069
9/4/2023,Fort Collins,422 Lake Dr,NE,Culex pipiens,2,CDC Light Trap,FC-072
9/4/2023,Fort Collins,422 Lake Dr,NE,Culex tarsalis,6,CDC Light Trap,FC-072
9/4/2023,Fort Collins,PVH Gravid,NE,Culex pipiens,7,Gravid Trap,FC-091gr
9/4/2023,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,7,Gravid Trap,FC-092gr
9/5/2023,Fort Collins,Magic Carpet,SW,Culex pipiens,21,CDC Light Trap,FC-001
9/5/2023,Fort Collins,Magic Carpet,SW,Culex tarsalis,2,CDC Light Trap,FC-001
9/5/2023,Fort Collins,Big Horn,SE,Culex pipiens,7,CDC Light Trap,FC-004
9/5/2023,Fort Collins,Big Horn,SE,Culex tarsalis,2,CDC Light Trap,FC-004
9/5/2023,Fort Collins,Boltz,SE,Culex tarsalis,3,CDC Light Trap,FC-023
9/5/2023,Fort Collins,Boltz,SE,Culex pipiens,2,CDC Light Trap,FC-023
9/5/2023,Fort Collins,Ben's Park,SE,Culex tarsalis,2,CDC Light Trap,FC-029
9/5/2023,Fort Collins,Ben's Park,SE,Culex pipiens,2,CDC Light Trap,FC-029
9/5/2023,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,5,Gravid Trap,FC-029gr
9/5/2023,Fort Collins,Chelsea Ridge,SW,Culex pipiens,7,CDC Light Trap,FC-037
9/5/2023,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,7,CDC Light Trap,FC-037
