year,csu_id,ida_id,week,,trap,zone,trap_type,genus,spp,test
2014 ,CSU-5952 ,15558 ,30 ,41841 ,FC-004 ,SE ,Light ,Cx ,tarsalis ,POS 1 
2014 ,CSU-6017 ,15623 ,30 ,41842 ,FC-039 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6034 ,15640 ,30 ,41842 ,LV-104 ,LV ,Light ,Cx ,tarsalis ,POS  
2014 ,CSU-6058 ,15664 ,30 ,41842 ,LV-123 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6099 ,15705 ,30 ,41842 ,FC-064 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6189 ,15794 ,31 ,7/28/14 ,FC-053 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6192 ,15797 ,31 ,7/28/14 ,FC-019 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6194 ,15799 ,31 ,7/28/14 ,FC-069 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6226 ,15831 ,31 ,7/28/14 ,FC-038 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6262 ,15867 ,31 ,7/28/14 ,FC-072 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6272 ,15877 ,31 ,7/29/14 ,FC-039 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6290 ,15895 ,31 ,7/29/14 ,LV-089 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6306 ,15911 ,31 ,7/29/14 ,FC-027 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6318 ,15923 ,31 ,7/29/14 ,FC-064 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6326 ,15931 ,31 ,7/29/14 ,FC-031 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6327 ,15932 ,31 ,7/29/14 ,FC-031 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6347 ,15952 ,31 ,7/29/14 ,FC-050 ,SE ,Light ,Cx ,tarsalis ,POS 
