year,csu_id,week,test,#
2013,CSU-3859,23,POS,1
2013,CSU-3861,23,POS,2
2013,CSU-3864,23,POS,3
2013,CSU-3867,23,POS,4
2013,CSU-3883,23,POS,5
2013,CSU-4030,26,POS,6
2013,CSU-4076,27,POS,7
2013,CSU-4091,27,POS,8
2013,CSU-4193,28,POS,9
2013,CSU-4209,28,POS,10
2013,CSU-4210,28,POS,11
2013,CSU-4234,28,POS,12
2013,CSU-4237,28,POS,13
2013,CSU-4243,28,POS,14
2013,CSU-4247,28,POS,15
2013,CSU-4253,28,POS,16
2013,CSU-4285,28,POS,17
2013,CSU-4289,28,POS,18
2013,CSU-4336,29,POS,19
2013,CSU-4352,29,POS,20
2013,CSU-4365,29,POS,21
2013,CSU-4372,29,POS,22
2013,CSU-4377,29,POS,23
2013,CSU-4384,29,POS,24
2013,CSU-4385,29,POS,25
2013,CSU-4391,29,POS,26
2013,CSU-4395,29,POS,27
2013,CSU-4396,29,POS,28
2013,CSU-4399,29,POS,29
2013,CSU-4400,29,POS,30
2013,CSU-4407,29,POS,31
2013,CSU-4413,29,POS,32
2013,CSU-4434,29,POS,33
2013,CSU-4437,29,POS,34
2013,CSU-4439,29,POS,35
2013,CSU-4441,29,POS,36
2013,CSU-4450,29,POS,37
2013,CSU-4455,29,POS,38
2013,CSU-4456,29,POS,39
2013,CSU-4470,29,POS,40
2013,CSU-4473,29,POS,41
2013,CSU-4474,29,POS,42
2013,CSU-4485,29,POS,43
2013,CSU-4488,29,POS,44
2013,CSU-4491,29,POS,45
2013,CSU-4496,29,POS,46
2013,CSU-4498,29,POS,47
2013,CSU-4501,29,POS,48
2013,CSU-4507,29,POS,49
2013,CSU-4509,29,POS,50
2013,CSU-4515,29,POS,51
2013,CSU-4522,29,POS,52
2013,CSU-4523,29,POS,53
2013,CSU-4535,30,POS,54
2013,CSU-4543,30,POS,55
2013,CSU-4556,30,POS,56
2013,CSU-4563,30,POS,57
2013,CSU-4566,30,POS,58
2013,CSU-4570,30,POS,59
2013,CSU-4588,30,POS,60
2013,CSU-4589,30,POS,61
2013,CSU-4592,30,POS,62
2013,CSU-4593,30,POS,63
2013,CSU-4598,30,POS,64
2013,CSU-4601,30,POS,65
2013,CSU-4606,30,POS,66
2013,CSU-4607,30,POS,67
2013,CSU-4614,30,POS,68
2013,CSU-4615,30,POS,69
2013,CSU-4616,30,POS,70
2013,CSU-4622,30,POS,71
2013,CSU-4624,30,POS,72
2013,CSU-4626,30,POS,73
2013,CSU-4629,30,POS,74
2013,CSU-4632,30,POS,75
2013,CSU-4639,30,POS,76
2013,CSU-4641,30,POS,77
2013,CSU-4642,30,POS,78
2013,CSU-4643,30,POS,79
2013,CSU-4664,30,POS,80
2013,CSU-4684,30,POS,81
,,,,
Year,CSU Pool,Week,Test Result,#
2013,CSU-4688,30,POS,82
2013,CSU-4689,30,POS,83
2013,CSU-4690,30,POS,84
2013,CSU-4693,30,POS,85
2013,CSU-4700,30,POS,86
2013,CSU-4701,30,POS,87
2013,CSU-4702,30,POS,88
2013,CSU-4703,30,POS,89
2013,CSU-4713,30,POS,90
2013,CSU-4714,30,POS,91
2013,CSU-4746,31,POS,92
2013,CSU-4756,31,POS,93
2013,CSU-4759,31,POS,94
2013,CSU-4760,31,POS,95
2013,CSU-4763,31,POS,96
2013,CSU-4768,31,POS,97
2013,CSU-4769,31,POS,98
2013,CSU-4776,31,POS,99
2013,CSU-4781,31,POS,100
2013,CSU-4782,31,POS,101
2013,CSU-4788,31,POS,102
2013,CSU-4808,31,POS,103
2013,CSU-4812,31,POS,104
2013,CSU-4813,31,POS,105
2013,CSU-4838,31,POS,106
2013,CSU-4842,31,POS,107
2013,CSU-4847,31,POS,108
2013,CSU-4854,31,POS,109
2013,CSU-4857,31,POS,110
2013,CSU-4858,31,POS,111
2013,CSU-4860,31,POS,112
2013,CSU-4862,31,POS,113
2013,CSU-4870,32,POS,114
2013,CSU-4875,32,POS,115
2013,CSU-4887,32,POS,116
2013,CSU-4899,32,POS,117
2013,CSU-4908,32,POS,118
2013,CSU-4911,32,POS,119
2013,CSU-4912,32,POS,120
2013,CSU-4916,32,POS,121
2013,CSU-4919,32,POS,122
2013,CSU-4924,32,POS,123
2013,CSU-4927,32,POS,124
2013,CSU-4928,32,POS,125
2013,CSU-4929,32,POS,126
2013,CSU-4931,32,POS,127
2013,CSU-4932,32,POS,128
2013,CSU-4934,32,POS,129
2013,CSU-4936,32,POS,130
2013,CSU-4937,32,POS,131
2013,CSU-4940,32,POS,132
2013,CSU-4946,32,POS,133
2013,CSU-4947,32,POS,134
