"","accession","year","city","trap","state","country","zone","date","host","lineage"
"1","CSU4030",2013,"FC","FC-031","CO","USA","SE",2013-06-25,"Mosquito-Culex",NA
"2","CSU4076",2013,"LV","LV-095","CO","USA","LV",2013-07-01,"Mosquito-Culex",NA
"3","CSU4091",2013,"FC","FC-039","CO","USA","SE",2013-07-02,"Mosquito-Culex",NA
"4","CSU4193",2013,"FC","FC-004","CO","USA","SE",2013-07-09,"Mosquito-Culex",NA
"5","CSU4209",2013,"FC","FC-066","CO","USA","NE",2013-07-09,"Mosquito-Culex",NA
"6","CSU4210",2013,"FC","FC-066","CO","USA","NE",2013-07-09,"Mosquito-Culex",NA
"7","CSU4234",2013,"FC","FC-027","CO","USA","SE",2013-07-09,"Mosquito-Culex",NA
"8","CSU4237",2013,"FC","FC-039","CO","USA","SE",2013-07-09,"Mosquito-Culex",NA
"9","CSU4243",2013,"LV","LV-089","CO","USA","LV",2013-07-09,"Mosquito-Culex",NA
"10","CSU4247",2013,"FC","FC-031","CO","USA","SE",2013-07-09,"Mosquito-Culex",NA
"11","CSU4253",2013,"FC","FC-046","CO","USA","SE",2013-07-09,"Mosquito-Culex",NA
"12","CSU4285",2013,"FC","FC-001","CO","USA","SW",2013-07-11,"Mosquito-Culex",NA
"13","CSU4289",2013,"LV","LV-102","CO","USA","LV",2013-07-11,"Mosquito-Culex",NA
"14","CSU4336",2013,"LV","LV-117","CO","USA","LV",2013-07-15,"Mosquito-Culex",NA
"15","CSU4352",2013,"LV","LV-095","CO","USA","LV",2013-07-15,"Mosquito-Culex",NA
"16","CSU4365",2013,"LV","LV-118","CO","USA","LV",2013-07-16,"Mosquito-Culex",NA
"17","CSU4372",2013,"FC","FC-053","CO","USA","SE",2013-07-16,"Mosquito-Culex",NA
"18","CSU4377",2013,"FC","FC-075","CO","USA","SE",2013-07-16,"Mosquito-Culex",NA
"19","CSU4384",2013,"FC","FC-075GR","CO","USA","SE",2013-07-16,"Mosquito-Culex",NA
