"","csu_id","trap_id","year","week","trap_date","county","method","genus","spp","sex","no_gravid","no_deplete","total","test_code","seq","cq"
"1","CSU5933","LV-095",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,20,20,0,0,NA
"2","CSU5934","FC-053",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"3","CSU5935","FC-053",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"4","CSU5936","FC-053",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"5","CSU5937","FC-053",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,34,34,0,0,NA
"6","CSU5938","FC-053",2014,30,2014-07-21,"Larimer","Light","Cx","pipiens","F",0,3,3,0,0,NA
"7","CSU5939","FC-053",2014,30,2014-07-21,"Larimer","Light","Cx","pipiens","F",0,2,2,0,0,NA
"8","CSU5940","FC-038",2014,30,2014-07-21,"Larimer","Light","Cx","pipiens","F",0,11,11,0,0,NA
"9","CSU5941","FC-038",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"10","CSU5942","FC-038",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"11","CSU5943","FC-038",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"12","CSU5944","FC-038",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"13","CSU5945","FC-038",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,48,48,0,0,NA
"14","CSU5946","LV-069",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"15","CSU5947","LV-069",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,31,31,0,0,NA
"16","CSU5948","LV-069",2014,30,2014-07-21,"Larimer","Light","Cx","pipiens","F",0,6,6,0,0,NA
"17","CSU5949","FC-004",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"18","CSU5950","FC-004",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"19","CSU5951","FC-004",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"20","CSU5952","FC-004",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,1,1,NA
"21","CSU5953","FC-004",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"22","CSU5954","FC-004",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,18,18,0,0,NA
"23","CSU5955","FC-004",2014,30,2014-07-21,"Larimer","Light","Cx","pipiens","F",0,28,28,0,0,NA
"24","CSU5956","FC-034",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,34,34,0,0,NA
"25","CSU5957","FC-091",2014,30,2014-07-21,"Larimer","Gravid","Cx","pipiens","F",7,0,7,0,0,NA
"26","CSU5958","FC-091",2014,30,2014-07-21,"Larimer","Gravid","Cx","tarsalis","F",2,0,2,0,0,NA
"27","CSU5959","FC-092",2014,30,2014-07-21,"Larimer","Gravid","Cx","pipiens","F",9,0,9,0,0,NA
"28","CSU5960","FC-040",2014,30,2014-07-21,"Larimer","Gravid","Cx","pipiens","F",8,0,8,0,0,NA
"29","CSU5961","FC-066",2014,30,2014-07-21,"Larimer","Gravid","Cx","tarsalis","F",2,0,2,0,0,NA
"30","CSU5962","FC-066",2014,30,2014-07-21,"Larimer","Gravid","Cx","pipiens","F",11,0,11,0,0,NA
"31","CSU5963","FC-066",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"32","CSU5964","FC-066",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"33","CSU5965","FC-066",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"34","CSU5966","FC-066",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,23,23,0,0,NA
"35","CSU5967","FC-066",2014,30,2014-07-21,"Larimer","Light","Cx","pipiens","F",0,42,42,0,0,NA
"36","CSU5968","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"37","CSU5969","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"38","CSU5970","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"39","CSU5971","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"40","CSU5972","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"41","CSU5973","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"42","CSU5974","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"43","CSU5975","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"44","CSU5976","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"45","CSU5977","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"46","CSU5978","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,50,50,0,0,NA
"47","CSU5979","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","tarsalis","F",0,46,46,0,0,NA
"48","CSU5980","FC-067",2014,30,2014-07-21,"Larimer","Light","Cx","pipiens","F",0,17,17,0,0,NA
"49","CSU5981","FC-019",2014,30,2014-07-21,"Larimer","Light","Cx","pipiens","F",0,18,18,0,0,NA
