csu_id,trap_id,year,week,trap_date,county,method,genus,spp,sex,no_gravid,no_deplete,total,test_code,seq
CSU5933,LV-095,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,20,20,0,0
CSU5934,FC-053,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5935,FC-053,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5936,FC-053,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5937,FC-053,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,34,34,0,0
CSU5938,FC-053,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,3,3,0,0
CSU5939,FC-053,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,2,2,0,0
CSU5940,FC-038,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,11,11,0,0
CSU5941,FC-038,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5942,FC-038,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5943,FC-038,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5944,FC-038,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5945,FC-038,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,48,48,0,0
CSU5946,LV-069,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5947,LV-069,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,31,31,0,0
CSU5948,LV-069,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,6,6,0,0
CSU5949,FC-004,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5950,FC-004,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5951,FC-004,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5952,FC-004,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,1,1
CSU5953,FC-004,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5954,FC-004,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,18,18,0,0
CSU5955,FC-004,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,28,28,0,0
CSU5956,FC-034,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,34,34,0,0
CSU5957,FC-091,2014,30,2014-07-21,Larimer,Gravid,Cx,pipiens,F,7,0,7,0,0
CSU5958,FC-091,2014,30,2014-07-21,Larimer,Gravid,Cx,tarsalis,F,2,0,2,0,0
CSU5959,FC-092,2014,30,2014-07-21,Larimer,Gravid,Cx,pipiens,F,9,0,9,0,0
CSU5960,FC-040,2014,30,2014-07-21,Larimer,Gravid,Cx,pipiens,F,8,0,8,0,0
CSU5961,FC-066,2014,30,2014-07-21,Larimer,Gravid,Cx,tarsalis,F,2,0,2,0,0
CSU5962,FC-066,2014,30,2014-07-21,Larimer,Gravid,Cx,pipiens,F,11,0,11,0,0
CSU5963,FC-066,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5964,FC-066,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5965,FC-066,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5966,FC-066,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,23,23,0,0
CSU5967,FC-066,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,42,42,0,0
CSU5968,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5969,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5970,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5971,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5972,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5973,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5974,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5975,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5976,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5977,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5978,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5979,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,46,46,0,0
CSU5980,FC-067,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,17,17,0,0
CSU5981,FC-019,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,18,18,0,0
CSU5982,FC-019,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5983,FC-019,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5984,FC-019,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,20,20,0,0
CSU5985,FC-069,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5986,FC-069,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,41,41,0,0
CSU5987,FC-069,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,3,3,0,0
CSU5988,FC-036,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5989,FC-036,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5990,FC-036,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5991,FC-036,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,11,11,0,0
CSU5992,FC-036,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,1,1,0,0
CSU5993,FC-036,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,3,3,0,0
CSU5994,FC-040,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5995,FC-040,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,47,47,0,0
CSU5996,FC-040,2014,30,2014-07-21,Larimer,Light,Cx,pipiens,F,0,6,6,0,0
CSU5997,FC-072,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
CSU5998,FC-072,2014,30,2014-07-21,Larimer,Light,Cx,tarsalis,F,0,50,50,0,0
